course_code,course_title,lecture_hours,lab_hours,credit_units,prerequisites,year,semester,category
CPE 400,Embedded Systems,3,3,4,CPE 405B,4,1,core
CPE 416,Digital Signal Processing and Application,3,3,4,MATH 026B,4,1,core
CPE 415,Developing Applications and Automation,2,3,3,CPE 314,4,1,core
CPE 412,CpE Design 1,2,3,3,CPE 309,4,1,core
GEM 001,Life and Works of Rizal,3,0,3,,4,1,core
ME 304A,Engineering Economics,3,0,3,,4,1,core
GEC 005,Purposive Communication,3,0,3,,4,1,core
CPE 304A,Project Management,3,0,3,4th year standing,4,1,core
CPE 413,CpE Design 2,1,6,3,Graduating,4,2,core
CPE 414,On-the-Job Training for CpE,3,240,3,Graduating,4,2,core
GEC 004,Mathematics in the Modern World,3,0,3,,4,2,core
TECH 101A,Technology Entrepreneurship,3,0,3,Graduating,4,2,core
CPE 207A,Advanced System Administration,2,3,3,CPE 206,elective,track,Systems Administration
CPE 307B,Automating Server Management,2,3,3,CPE 207A,elective,track,Systems Administration
CPE 312B,Cloud Management and Security,2,3,3,CPE 307B,elective,track,Systems Administration
CPE 209,Fundamentals of Cybersecurity,2,3,3,CPE 206,elective,track,Cybersecurity
CPE 320,Computer Security Management,2,3,3,CPE 209,elective,track,Cybersecurity
CPE 315,Forensics of Cybersecurity,2,3,3,CPE 320,elective,track,Cybersecurity
CPE 331B,Internet of Things,2,3,3,CPE 203,elective,track,Cyber-Physical Systems
CPE 332B,Machine Perception and Robotics,2,3,3,CPE 331B,elective,track,Cyber-Physical Systems
CPE 343C,Intelligent System Design,2,3,3,CPE 332B,elective,track,Cyber-Physical Systems
COE 003,Computational Thinking with Python,2,3,3,CPE 200,elective,track,Data Science
COE 004A,Predictive Analytics using Machine Learning,2,3,3,COE 003,elective,track,Data Science
COE 005A,Advanced Machine Learning and Deep Learning,2,3,3,COE 004A,elective,track,Data Science
RWE 001,Introduction to Railway Systems and Engineering,3,0,3,,elective,track,Railway Engineering
RWE 002A,"Railway Management, Governance and Operations",3,0,3,RWE 001,elective,track,Railway Engineering
RWE 003A,Advanced Topic on Railway Engineering,3,0,3,RWE 002A,elective,track,Railway Engineering
