exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,elective_track_course,,BSARCH Curriculum 2023,AR 591A,Specialization 2: Cost Management,2,3,3,5,1,true,,,Construction Management,
1,elective_track_course,,BSARCH Curriculum 2023,AR 592A,Specialization 3: Construction Safety and Risk Management,2,3,3,5,2,true,,,Construction Management,
1,elective_track_course,,BSARCH Curriculum 2023,AR 492B,Specialization 1: Introduction to Environmental Planning and the Planning Process,3,0,3,4,2,true,,,Environmental Planning,
1,elective_track_course,,BSARCH Curriculum 2023,AR 591B,Specialization 2: Urban Design Studio,2,3,3,5,1,true,,,Environmental Planning,
1,elective_track_course,,BSARCH Curriculum 2023,AR 592B,Specialization 3: Special Problems for Urban and Regional Planning,2,3,3,5,2,true,,,Environmental Planning,
1,elective_track_course,,BSARCH Curriculum 2023,AR 492C,Specialization 1: Introduction to Architectural Heritage Conservation,3,0,3,4,2,true,,,Heritage Conservation,
1,elective_track_course,,BSARCH Curriculum 2023,AR 591C,Specialization 2: Heritage Conservation Techniques and Materials,2,3,3,5,1,true,,,Heritage Conservation,
1,elective_track_course,,BSARCH Curriculum 2023,AR 592C,Specialization 3: Heritage Conservation Management Planning,2,3,3,5,2,true,,,Heritage Conservation,
1,elective_track_course,,BSARCH Curriculum 2023,QS 001,Design Economics and Cost Planning,2,3,3,4,2,true,,,Quantity Surveying,
1,elective_track_course,,BSARCH Curriculum 2023,QS 003,Procurement and Tendering in Construction,3,0,3,5,1,true,,,Quantity Surveying,
1,elective_track_course,,BSARCH Curriculum 2023,QS 004,Contract Practice and Administration Including Cost Reporting,3,0,3,5,2,true,,,Quantity Surveying,
1,prerequisite,,BSARCH Curriculum 2023,GEE 002B,GE Elective 2 - Living in the IT Era,,,3,,,false,,GEE 001B,,
1,prerequisite,,BSARCH Curriculum 2023,AR 102,Architectural Design 2,,,2,,,false,,AR 101,,
