exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,prerequisite,,BSEE Curriculum 2023,MATH 024D,Engineering Mathematics for EE,,,3,,,false,,CPE 102A,,
1,prerequisite,,BSEE Curriculum 2023,MATH 024D,Engineering Mathematics for EE,,,3,,,false,,MATH 021,,
1,prerequisite,,BSEE Curriculum 2023,MATH 024D,Engineering Mathematics for EE,,,3,,,false,,MATH 022B,,
1,prerequisite,,BSEE Curriculum 2023,ECE 200A,Electronic Circuits: Devices and Analysis,,,4,,,false,,EE 200,,
1,prerequisite,,BSEE Curriculum 2023,CE 205A,Fundamentals of Deformable Bodies,,,2,,,false,,CE 201B,,
1,prerequisite,,BSEE Curriculum 2023,CE 309A,Fluid Mechanics,,,2,,,false,,PHYS 111,,
1,prerequisite,,BSEE Curriculum 2023,MATH 026A,Numerical Methods and Analysis,,,3,,,false,,MATH 022B,,
1,prerequisite,,BSEE Curriculum 2023,MATH 027C,Engineering Data Analysis 1,,,3,,,false,,MATH 141,,
1,prerequisite,,BSEE Curriculum 2023,PE 004,Physical Activities Toward Health and Fitness 4 (PATHFit 4),,,2,,,false,,PE 003,,
1,prerequisite,,BSEE Curriculum 2023,EE 304,Electrical Machines 1,,,2,,,false,,EE 202,,
1,prerequisite,,BSEE Curriculum 2023,EE 304,Electrical Machines 1,,,2,,,false,,EE 201,,
1,prerequisite,,BSEE Curriculum 2023,EE 340,Industrial Power Electronics,,,4,,,false,,ECE 200A,,
1,prerequisite,,BSEE Curriculum 2023,EE 340,Industrial Power Electronics,,,4,,,false,,EE 202,,
1,prerequisite,,BSEE Curriculum 2023,CPE 203,Logic Circuits and Switching Theory,,,4,,,false,,ECE 200A,,
1,prerequisite,,BSEE Curriculum 2023,ME 304,Engineering Economics,,,3,,,false,,MATH 027C,,
1,prerequisite,,BSEE Curriculum 2023,IE 321,Engineering Data Analysis 2,,,1,,,false,,MATH 027C,,
1,prerequisite,,BSEE Curriculum 2023,CHM 007,Materials Science and Engineering,,,3,,,false,,CHM 001,,
1,prerequisite,,BSEE Curriculum 2023,EE 310,Control Systems Analysis,,,2,,,false,,EE 202,,
1,prerequisite,,BSEE Curriculum 2023,EE 310,Control Systems Analysis,,,2,,,false,,MATH 024D,,
1,prerequisite,,BSEE Curriculum 2023,EE 310,Control Systems Analysis,,,2,,,false,,MATH 026A,,
1,prerequisite,,BSEE Curriculum 2023,EE 303,Integration Course in Mathematics,,,2,,,false,,MATH 024D,,
1,prerequisite,,BSEE Curriculum 2023,EE 305,Electrical Machines 2,,,4,,,false,,EE 304,,
1,prerequisite,,BSEE Curriculum 2023,EE 306,Electrical Apparatus and Devices,,,3,,,false,,EE 202,,
1,prerequisite,,BSEE Curriculum 2023,EE 306,Electrical Apparatus and Devices,,,3,,,false,,MATH 027C,,
1,prerequisite,,BSEE Curriculum 2023,EE 308,Research Methods,,,1,,,false,,IE 321,,
1,corequisite,,BSEE Curriculum 2023,COE 312,Fundamentals of Intellectual Property,,,1,,,false,,EE 308,,
1,prerequisite,,BSEE Curriculum 2023,EE 309,"EE Law, Codes and Professional Ethics",,,2,,,false,,GEC 008,,
1,prerequisite,,BSEE Curriculum 2023,CPE 405A,Microprocessor Systems,,,4,,,false,,CPE 203,,
1,prerequisite,,BSEE Curriculum 2023,EE 400,Electrical Standards and Practices,,,1,,,false,,EE 309,,
1,prerequisite,,BSEE Curriculum 2023,EE 430,Management of EE Projects,,,2,,,false,,ME 304,,
1,prerequisite,,BSEE Curriculum 2023,ECE 204A,Principles of Electronic Communications,,,3,,,false,,ECE 200A,,
1,prerequisite,,BSEE Curriculum 2023,EE 410,Electrical Systems and Illumination Engineering Design,,,5,,,false,,EE 306,,
1,prerequisite,,BSEE Curriculum 2023,EE 431,EE Design Project 1,,,3,,,false,,EE 305,,
1,prerequisite,,BSEE Curriculum 2023,EE 431,EE Design Project 1,,,3,,,false,,EE 306,,
1,prerequisite,,BSEE Curriculum 2023,EE 431,EE Design Project 1,,,3,,,false,,EE 308,,
1,prerequisite,,BSEE Curriculum 2023,EE 432,Instrumentation and Control,,,3,,,false,,EE 310,,
1,prerequisite,,BSEE Curriculum 2023,EE 407,Integration Course in Engineering Sciences,,,2,,,false,,EE 303,,
1,prerequisite,,BSEE Curriculum 2023,EE 415,Power System Analysis,,,4,,,false,,EE 305,,
1,prerequisite,,BSEE Curriculum 2023,EE 415,Power System Analysis,,,4,,,false,,EE 306,,
1,corequisite,,BSEE Curriculum 2023,EE 416,Power Plant Engineering and Generating Substation Design,,,1,,,false,,EE 415,,
1,corequisite,,BSEE Curriculum 2023,EE 417A,Transmission and Distribution Systems with Substation,,,3,,,false,,EE 415,,
1,prerequisite,,BSEE Curriculum 2023,EE 414,EE Design Project 2,,,3,,,false,,EE 431,,
1,prerequisite,,BSEE Curriculum 2023,EE 419,Integration Course in Electrical Engineering,,,2,,,false,,EE 407,,
1,prerequisite,,BSEE Curriculum 2023,PSE 420,Power System Reliability and Planning,,,3,,,false,,MATH 027C,,
1,prerequisite,,BSEE Curriculum 2023,PSE 420,Power System Reliability and Planning,,,3,,,false,,EE 202,,
1,prerequisite,,BSEE Curriculum 2023,PSE 421,Power Quality and Demand Side Management,,,3,,,false,,PSE 420,,
1,prerequisite,,BSEE Curriculum 2023,PSE 422,Power System Market Operation,,,3,,,false,,PSE 421,,
1,corequisite,,BSEE Curriculum 2023,PSA 422,Renewable Energy Systems Integration,,,3,,,false,,EE 304,,
1,prerequisite,,BSEE Curriculum 2023,PSA 423,Smart Grid Application in Power System,,,3,,,false,,PSA 422,,
1,prerequisite,,BSEE Curriculum 2023,PSA 424,Advanced Automation in Distribution System,,,3,,,false,,PSA 423,,
1,prerequisite,,BSEE Curriculum 2023,RWE 002A,Railway Management and Governance and Operations,,,3,,,false,,RWE 001,,
1,prerequisite,,BSEE Curriculum 2023,RWE 003,Railway Power System and Protection,,,3,,,false,,RWE 002A,,
