exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,units,yearLevel,semester,isElective,relatedCourseCode,trackName,notes
1,elective_track,,BS CPE Curriculum 2018,,,,,,,,Technopreneurship,
1,elective_track,,BS CPE Curriculum 2018,,,,,,,,Data Science,
1,elective_track,,BS CPE Curriculum 2018,,,,,,,,Railway Engineering,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 207,System Administration Fundamentals,3,,,,,Systems Administration,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 307,Managing Enterprise Servers,3,,,,,Systems Administration,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 312,Enterprise Security,3,,,,,Systems Administration,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 209,Fundamentals of Cybersecurity,3,,,,,Cybersecurity,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 320,Computer Security Management,3,,,,,Cybersecurity,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 315,Forensics of Cybersecurity,3,,,,,Cybersecurity,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 331A,Principles of Robotics,3,,,,,Robotics,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 332,Programming Robots,3,,,,,Robotics,
1,elective_track_course,,BS CPE Curriculum 2018,CPE 343,Robot Design,3,,,,,Robotics,
1,elective_track_course,,BS CPE Curriculum 2018,TECH 102,Technopreneurship 2,3,,,,,Technopreneurship,
1,elective_track_course,,BS CPE Curriculum 2018,TECH 103,Technopreneurship 3,3,,,,,Technopreneurship,
1,elective_track_course,,BS CPE Curriculum 2018,TECH 104,Technopreneurship 4,3,,,,,Technopreneurship,
1,elective_track_course,,BS CPE Curriculum 2018,COE 003,Computational Thinking with Python,3,,,,,Data Science,
1,elective_track_course,,BS CPE Curriculum 2018,COE 004,Inferential Thinking by Resampling,3,,,,,Data Science,
1,elective_track_course,,BS CPE Curriculum 2018,COE 005,Prediction and Machine Learning,3,,,,,Data Science,
1,elective_track_course,,BS CPE Curriculum 2018,RWE 001,Introduction to Railway Systems and Engineering,3,,,,,Railway Engineering,
1,elective_track_course,,BS CPE Curriculum 2018,RWE 002A,Railway Management Governance and Operations,3,,,,,Railway Engineering,
1,elective_track_course,,BS CPE Curriculum 2018,RWE 003A,Advanced Topic on Railway Engineering,3,,,,,Railway Engineering,
